Reason_for_Absence,Distance_from_Work,Service_Time,Age,Absenteeism_Time_in_Hours,Percent_of_Work
10,361,52,3,8,100.00%
1,235,11,14,8,100.00%
20,260,50,11,8,100.00%
20,260,50,11,8,100.00%
20,260,50,11,8,100.00%
24,246,25,16,8,100.00%
3,179,51,18,8,100.00%
6,189,29,13,8,100.00%
18,330,16,4,8,100.00%
11,289,36,13,8,100.00%
11,289,36,13,8,100.00%
3,179,51,18,8,100.00%
2,235,29,12,8,100.00%
2,235,29,12,8,100.00%
11,289,36,13,8,100.00%
2,235,29,12,8,100.00%
5,235,20,13,8,100.00%
20,260,50,11,8,100.00%
3,179,51,18,8,100.00%
15,291,31,12,8,100.00%
11,289,36,13,8,100.00%
3,179,51,18,8,100.00%
17,179,22,17,8,100.00%
6,189,29,13,8,100.00%
14,155,12,14,8,100.00%
17,179,22,17,8,100.00%
1,235,11,14,8,100.00%
20,260,50,11,8,100.00%
10,361,52,3,8,100.00%
10,361,52,3,8,100.00%
24,246,25,16,8,100.00%
14,155,12,14,8,100.00%
22,179,26,9,8,100.00%
11,289,36,13,8,100.00%
24,246,25,16,8,100.00%
3,179,51,18,8,100.00%
6,189,29,13,8,100.00%
11,289,36,13,8,100.00%
31,388,15,9,8,100.00%
31,388,15,9,8,100.00%
27,184,42,7,8,100.00%
18,330,16,4,8,100.00%
6,189,29,13,8,100.00%
20,260,50,11,8,100.00%
17,179,22,17,8,100.00%
15,291,31,12,8,100.00%
20,260,50,11,8,100.00%
22,179,26,9,8,100.00%
14,155,12,14,8,100.00%
11,289,36,13,8,100.00%
17,179,22,17,8,100.00%
7,279,5,14,8,100.00%
28,225,26,9,8,100.00%
28,225,26,9,8,100.00%
24,246,25,16,8,100.00%
33,248,25,14,8,100.00%
11,289,36,13,8,100.00%
23,378,49,11,8,100.00%
11,289,36,13,8,100.00%
3,179,51,18,8,100.00%
28,225,26,9,8,100.00%
10,361,52,3,8,100.00%
24,246,25,16,8,100.00%
10,361,52,3,8,100.00%
24,246,25,16,8,100.00%
3,179,51,18,8,100.00%
24,246,25,16,8,100.00%
36,118,13,18,8,100.00%
23,378,49,11,8,100.00%
36,118,13,18,8,100.00%
34,118,10,10,8,100.00%
18,330,16,4,8,100.00%
22,179,26,9,8,100.00%
18,330,16,4,8,100.00%
18,330,16,4,8,100.00%
10,361,52,3,8,100.00%
11,289,36,13,8,100.00%
3,179,51,18,8,100.00%
11,289,36,13,8,100.00%
11,289,36,13,8,100.00%
9,228,14,16,8,100.00%
21,268,11,8,8,100.00%
1,235,11,14,8,100.00%
10,361,52,3,8,100.00%
27,184,42,7,8,100.00%
3,179,51,18,8,100.00%
3,179,51,18,8,100.00%
5,235,20,13,8,100.00%
3,179,51,18,8,100.00%
11,289,36,13,8,100.00%
11,289,36,13,8,100.00%
11,289,36,13,8,100.00%
22,179,26,9,8,100.00%
13,369,17,12,8,100.00%
10,361,52,3,8,100.00%
34,118,10,10,8,100.00%
3,179,51,18,8,100.00%
23,378,49,11,8,100.00%
5,235,20,13,8,100.00%
24,246,25,16,8,100.00%
24,246,25,16,8,100.00%
20,260,50,11,8,100.00%
20,260,50,11,8,100.00%
24,246,25,16,8,100.00%
34,118,10,10,8,100.00%
5,235,20,13,8,100.00%
20,260,50,11,8,100.00%
11,289,36,13,8,100.00%
11,289,36,13,8,100.00%
15,291,31,12,8,100.00%
5,235,20,13,8,100.00%
3,179,51,18,8,100.00%
24,246,25,16,8,100.00%
6,189,29,13,8,100.00%
34,118,10,10,8,100.00%
1,235,11,14,8,100.00%
17,179,22,17,8,100.00%
23,378,49,11,8,100.00%
10,361,52,3,8,100.00%
1,235,11,14,8,100.00%
36,118,13,18,8,100.00%
3,179,51,18,8,100.00%
11,289,36,13,8,100.00%
20,260,50,11,8,100.00%
18,330,16,4,8,100.00%
3,179,51,18,8,100.00%
26,300,26,13,8,100.00%
13,369,17,12,8,100.00%
9,228,14,16,8,100.00%
18,330,16,4,8,100.00%
1,235,11,14,8,100.00%
5,235,20,13,8,100.00%
3,179,51,18,8,100.00%
1,235,11,14,8,100.00%
20,260,50,11,8,100.00%
21,268,11,8,8,100.00%
18,330,16,4,8,100.00%
34,118,10,10,8,100.00%
34,118,10,10,8,100.00%
26,300,26,13,8,100.00%
10,361,52,3,8,100.00%
11,289,36,13,8,100.00%
5,235,20,13,8,100.00%
11,289,36,13,8,100.00%
5,235,20,13,8,100.00%
17,179,22,17,8,100.00%
22,179,26,9,8,100.00%
13,369,17,12,8,100.00%
10,361,52,3,8,100.00%
24,246,25,16,8,100.00%
13,369,17,12,8,100.00%
13,369,17,12,8,100.00%
13,369,17,12,8,100.00%
13,369,17,12,8,100.00%
6,189,29,13,8,100.00%
25,235,16,8,8,100.00%
33,248,25,14,8,100.00%
34,118,10,10,8,100.00%
11,289,36,13,8,100.00%
25,235,16,8,8,100.00%
10,361,52,3,8,100.00%
34,118,10,10,8,100.00%
34,118,10,10,8,100.00%
13,369,17,12,8,100.00%
5,235,20,13,8,100.00%
12,233,51,1,8,100.00%
32,289,48,29,8,100.00%
14,155,12,14,8,100.00%
11,289,36,13,8,100.00%
3,179,51,18,8,100.00%
33,248,25,14,8,100.00%
28,225,26,9,8,100.00%
3,179,51,18,8,100.00%
10,361,52,3,8,100.00%
3,179,51,18,8,100.00%
28,225,26,9,8,100.00%
11,289,36,13,8,100.00%
16,118,15,24,8,100.00%
13,369,17,12,8,100.00%
28,225,26,9,8,100.00%
34,118,10,10,8,100.00%
10,361,52,3,8,100.00%
33,248,25,14,8,100.00%
6,189,29,13,8,100.00%
1,235,11,14,8,100.00%
28,225,26,9,8,100.00%
28,225,26,9,8,100.00%
